Altitude,Temperature,Pressure,Density,Speed of sound,Viscosity
30.8000,227.450,1038.97,0.0159130,302.335,0.0000149280
30.9000,227.550,1023.48,0.0156690,302.401,0.0000149335
31.0000,227.650,1008.23,0.0154288,302.468,0.0000149390
31.1000,227.750,993.218,0.0151923,302.534,0.0000149446
31.2000,227.850,978.434,0.0149596,302.600,0.0000149501
31.3000,227.950,963.876,0.0147306,302.667,0.0000149557
31.4000,228.050,949.541,0.0145051,302.733,0.0000149612
31.5000,228.150,935.425,0.0142832,302.800,0.0000149668
31.6000,228.250,921.526,0.0140648,302.866,0.0000149723
31.7000,228.350,907.838,0.0138499,302.932,0.0000149778
31.8000,228.450,894.360,0.0136383,302.999,0.0000149834
31.9000,228.550,881.088,0.0134300,303.065,0.0000149889
32.0000,228.650,868.019,0.0132250,303.131,0.0000149945
32.1000,228.930,855.154,0.0130131,303.317,0.0000150100
32.2000,229.210,842.495,0.0128048,303.502,0.0000150254
32.3000,229.490,830.038,0.0126001,303.688,0.0000150409
32.4000,229.770,817.781,0.0123989,303.873,0.0000150564
32.5000,230.050,805.719,0.0122011,304.058,0.0000150719
32.6000,230.330,793.849,0.0120068,304.243,0.0000150873
32.7000,230.610,782.168,0.0118157,304.428,0.0000151028
32.8000,230.890,770.674,0.0116280,304.612,0.0000151182
32.9000,231.170,759.361,0.0114434,304.797,0.0000151336
33.0000,231.450,748.228,0.0112620,304.982,0.0000151491
33.1000,231.730,737.272,0.0110837,305.166,0.0000151645
33.2000,232.010,726.489,0.0109084,305.350,0.0000151799
33.3000,232.290,715.876,0.0107361,305.535,0.0000151953
33.4000,232.570,705.431,0.0105667,305.719,0.0000152107
33.5000,232.850,695.150,0.0104002,305.903,0.0000152261
33.6000,233.130,685.032,0.0102365,306.086,0.0000152414
33.7000,233.410,675.072,0.0100756,306.270,0.0000152568
33.8000,233.690,665.269,0.00991734,306.454,0.0000152722
33.9000,233.970,655.620,0.00976181,306.637,0.0000152875
34.0000,234.250,646.122,0.00960889,306.821,0.0000153029
34.1000,234.530,636.773,0.00945855,307.004,0.0000153182
34.2000,234.810,627.570,0.00931073,307.187,0.0000153335
34.3000,235.090,618.511,0.00916540,307.370,0.0000153489
34.4000,235.370,609.593,0.00902250,307.553,0.0000153642
34.5000,235.650,600.814,0.00888200,307.736,0.0000153795
34.6000,235.930,592.172,0.00874385,307.919,0.0000153948
34.7000,236.210,583.664,0.00860800,308.102,0.0000154101
34.8000,236.490,575.288,0.00847443,308.284,0.0000154254
34.9000,236.770,567.042,0.00834308,308.467,0.0000154406
35.0000,237.050,558.924,0.00821392,308.649,0.0000154559
35.1000,237.330,550.931,0.00808691,308.831,0.0000154712
35.2000,237.610,543.062,0.00796201,309.013,0.0000154864
35.3000,237.890,535.314,0.00783918,309.195,0.0000155017
35.4000,238.170,527.686,0.00771839,309.377,0.0000155169
35.5000,238.450,520.175,0.00759959,309.559,0.0000155321
35.6000,238.730,512.780,0.00748277,309.741,0.0000155474
35.7000,239.010,505.498,0.00736787,309.922,0.0000155626
35.8000,239.290,498.329,0.00725486,310.104,0.0000155778
35.9000,239.570,491.269,0.00714372,310.285,0.0000155930
36.0000,239.850,484.317,0.00703441,310.467,0.0000156082
36.1000,240.130,477.471,0.00692690,310.648,0.0000156233
36.2000,240.410,470.730,0.00682115,310.829,0.0000156385
36.3000,240.690,464.092,0.00671714,311.010,0.0000156537
36.4000,240.970,457.555,0.00661483,311.191,0.0000156688
36.5000,241.250,451.118,0.00651419,311.371,0.0000156840
36.6000,241.530,444.778,0.00641520,311.552,0.0000156991
36.7000,241.810,438.535,0.00631783,311.733,0.0000157143
36.8000,242.090,432.386,0.00622205,311.913,0.0000157294
36.9000,242.370,426.331,0.00612782,312.093,0.0000157445
37.0000,242.650,420.367,0.00603513,312.274,0.0000157596
37.1000,242.930,414.494,0.00594394,312.454,0.0000157748
37.2000,243.210,408.709,0.00585424,312.634,0.0000157898
37.3000,243.490,403.011,0.00576599,312.814,0.0000158049
37.4000,243.770,397.399,0.00567917,312.993,0.0000158200
37.5000,244.050,391.872,0.00559375,313.173,0.0000158351
37.6000,244.330,386.427,0.00550972,313.353,0.0000158502
37.7000,244.610,381.065,0.00542704,313.532,0.0000158652
37.8000,244.890,375.783,0.00534569,313.712,0.0000158803
37.9000,245.170,370.580,0.00526566,313.891,0.0000158953
38.0000,245.450,365.455,0.00518691,314.070,0.0000159104
38.1000,245.730,360.406,0.00510943,314.249,0.0000159254
38.2000,246.010,355.433,0.00503319,314.428,0.0000159404
38.3000,246.290,350.534,0.00495817,314.607,0.0000159554
38.4000,246.570,345.708,0.00488436,314.786,0.0000159704
38.5000,246.850,340.954,0.00481172,314.965,0.0000159854
38.6000,247.130,336.270,0.00474025,315.143,0.0000160004
38.7000,247.410,331.656,0.00466992,315.322,0.0000160154
38.8000,247.690,327.111,0.00460071,315.500,0.0000160304
38.9000,247.970,322.632,0.00453260,315.678,0.0000160454
39.0000,248.250,318.220,0.00446557,315.856,0.0000160603
39.1000,248.530,313.874,0.00439961,316.034,0.0000160753
39.2000,248.810,309.591,0.00433470,316.212,0.0000160902
39.3000,249.090,305.372,0.00427081,316.390,0.0000161052
39.4000,249.370,301.214,0.00420794,316.568,0.0000161201
39.5000,249.650,297.118,0.00414606,316.746,0.0000161350
39.6000,249.930,293.082,0.00408516,316.923,0.0000161500
39.7000,250.210,289.105,0.00402522,317.101,0.0000161649
39.8000,250.490,285.187,0.00396623,317.278,0.0000161798
39.9000,250.770,281.326,0.00390816,317.455,0.0000161947
40.0000,251.050,277.522,0.00385101,317.633,0.0000162096
40.1000,251.330,273.773,0.00379476,317.810,0.0000162245
40.2000,251.610,270.079,0.00373939,317.987,0.0000162393
40.3000,251.890,266.438,0.00368488,318.164,0.0000162542
40.4000,252.170,262.851,0.00363123,318.340,0.0000162691
40.5000,252.450,259.316,0.00357842,318.517,0.0000162839
40.6000,252.730,255.832,0.00352644,318.694,0.0000162988
40.7000,253.010,252.399,0.00347527,318.870,0.0000163136
40.8000,253.290,249.016,0.00342489,319.047,0.0000163284
40.9000,253.570,245.682,0.00337530,319.223,0.0000163433
41.0000,253.850,242.395,0.00332648,319.399,0.0000163581
41.1000,254.130,239.157,0.00327842,319.575,0.0000163729
41.2000,254.410,235.965,0.00323111,319.751,0.0000163877
41.3000,254.690,232.819,0.00318453,319.927,0.0000164025
41.4000,254.970,229.719,0.00313867,320.103,0.0000164173
41.5000,255.250,226.663,0.00309352,320.279,0.0000164320
41.6000,255.530,223.651,0.00304907,320.454,0.0000164468
41.7000,255.810,220.683,0.00300531,320.630,0.0000164616
41.8000,256.090,217.757,0.00296222,320.805,0.0000164763
41.9000,256.370,214.873,0.00291979,320.981,0.0000164911
42.0000,256.650,212.030,0.00287802,321.156,0.0000165058
42.1000,256.930,209.228,0.00283689,321.331,0.0000165206
42.2000,257.210,206.466,0.00279639,321.506,0.0000165353
42.3000,257.490,203.743,0.00275651,321.681,0.0000165500
42.4000,257.770,201.059,0.00271725,321.856,0.0000165647
42.5000,258.050,198.413,0.00267858,322.030,0.0000165795
42.6000,258.330,195.805,0.00264051,322.205,0.0000165942
