,index,Magnitude,U,V,Direction
10617,80000,2.5174425,0.19511384,-2.5031962000000005,3.0638040518792633
10618,80001,2.7286867999999997,0.09211064,-2.7218668,3.1077645830636507
10619,80002,2.6629076,0.14594594,-2.6569977000000002,3.0867189051968213
10620,80003,2.654857,-0.05120547,-2.6529627000000002,-3.122293809786961
10621,80004,2.3580878,0.020669559,-2.3439252,3.132774529510155
10622,80005,2.4587476,0.386944,-2.4072322999999995,2.9822137267788484
10623,80006,2.9412543999999996,0.7063272,-2.8503783,2.898684505381131
10624,80007,2.8402060000000002,0.580516,-2.7728919999999997,2.935219265349171
10625,80008,3.2287807,0.22560811,-3.2193077000000003,3.071627343439732
10626,80009,3.0445254,0.33218476,-3.0131178,3.031789885785115
10627,80010,2.7231624,0.39904225,-2.6891625,2.9942785851102527
10628,80011,2.7846822999999996,0.44591096,-2.7471888,2.980680636667652
10629,80012,2.626888,0.39539284,-2.596207,2.9904576507255807
10630,80013,2.5450227,0.24383809999999997,-2.5325512999999997,3.045606921085891
10631,80014,2.499597,0.110273525,-2.4960175,3.0974415757322915
10632,80015,2.5177045,0.18922505,-2.509651,3.066336099350301
10633,80016,2.6802256,0.36742568,-2.6543603,3.004043300482887
10634,80017,2.4814866,0.20560768,-2.4699347,3.0585399643573923
10635,80018,2.562493,0.1771002,-2.5556045,3.072404515526999
10636,80019,2.5429937999999996,0.28284509999999996,-2.5260599,3.030086248376049
10637,80020,2.726917,0.40415272,-2.6962192000000003,2.992804329500273
10638,80021,2.6515388,0.41948873,-2.6156987999999997,2.982573251039742
10639,80022,2.6110892000000003,0.3109918,-2.5914521,3.0221570522090038
10640,80023,2.2663517000000004,0.29348013,-2.245899,3.0116551163922702
10641,80024,2.2326636000000004,0.30931926,-2.2107928,3.0025817714274026
10642,80025,2.3223933999999997,0.38154233,-2.290433,2.976527451697904
10643,80026,2.236678,0.3550926,-2.2073386000000004,2.982090088598136
10644,80027,2.3157074,0.4231066,-2.2755039,2.9577524000857376
10645,80028,2.223264,0.55058783,-2.1523852000000003,2.8911593045671338
10646,80029,2.1303248,0.5102358,-2.0599005,2.898780575806666
10647,80030,2.1109028,0.19742492,-2.0960379000000002,3.047680144570558
10648,80031,2.0166814,0.411774,-1.9586592,2.9343777020856594
10649,80032,1.9654531000000002,0.36427695,-1.9293076,2.9549773019278813
10650,80033,1.7797371,0.22720797,-1.7636467,3.0134698460757345
10651,80034,1.7341043,0.17298873,-1.719386,3.0413193261294764
10652,80035,1.6333067,0.049950562000000004,-1.6307715,3.1109722082275444
10653,80036,1.6898354,0.084231764,-1.6854936000000003,3.0916596563813252
10654,80037,1.6399584999999999,0.04401146,-1.6386092,3.114740075698396
10655,80038,1.580602,0.06340149,-1.5779657,3.1014349967214447
10656,80039,1.4630151000000002,0.062198654000000006,-1.4432794,3.09852393694485
10657,80040,1.5081548999999999,-0.25765654,-1.4781723,-2.969018974106986
10658,80041,1.5208317,-0.17969804,-1.5052471,-3.0227738960643986
10659,80042,1.8397898999999998,-0.35926846,-1.7994884999999998,-2.9445333443620463
10660,80043,1.9763534,-0.14562894,-1.9584883000000002,-3.067371414410802
10661,80044,2.1212513,-0.20197353,-2.108212,-3.0460809171660386
10662,80045,2.183246,0.13505074,-2.1740465,3.0795528452307255
10663,80046,2.2034924,0.13140383,-2.1898763,3.08165937871152
10664,80047,1.8797475,-0.059273165,-1.8754045,-3.1099976346826157
10665,80048,1.9443631000000001,-0.2640342,-1.9229881999999998,-3.005141742851815
10666,80049,1.8875397,-0.6211677,-1.7724631000000002,-2.8045129764840873
10667,80050,1.7577923999999998,-0.4948694,-1.6817056000000001,-2.855404336711197
10668,80051,1.5979538999999998,-0.57643247,-1.4707158,-2.7680537344810774
10669,80052,1.5634111000000002,-0.6825249,-1.4056076000000002,-2.6895532286846757
10670,80053,1.846222,-0.6439175,-1.7284317999999999,-2.784976618870996
10671,80054,1.3783374,-0.4568137,-1.2931321000000002,-2.8020152849135496
10672,80055,1.9785105,-0.5599407,-1.8959124,-2.8544156154656077
10673,80056,2.0795991000000003,-0.41770086,-2.0367467,-2.9393150007107476
10674,80057,2.0446284,-0.31181329999999996,-2.0201225,-2.988447591875092
10675,80058,2.0804012,-0.2540083,-2.0646355,-3.0191796350619517
10676,80059,2.1443442999999998,-0.30032846,-2.122634,-3.001037051659645
10677,80060,2.2203722000000004,-0.20921269,-2.2102717999999997,-3.0472190962410415
10678,80061,2.2789757,-0.21687270000000003,-2.268491,-3.046280140979399
10679,80062,2.3116782000000002,-0.22268754,-2.3006423,-3.04509961352275
10680,80063,2.2216861,-0.36336774,-2.1850708,-2.9768049999755717
10681,80064,2.2346814,-0.4534361,-2.186898,-2.937147419432826
10682,80065,2.2217404999999997,-0.46647438,-2.1716235,-2.9300034162333333
10683,80066,2.1326199,-0.35623994,-2.1023626,-2.973739594470687
10684,80067,1.9660608,-0.42514357,-1.8720167,-2.9182759449984594
10685,80068,2.0480018,-0.65644974,-1.9381568,-2.815021737060685
10686,80069,2.0235856,-0.5733191999999999,-1.9402515,-2.8542813017444875
10687,80070,1.9605161,-0.49033222,-1.8973358,-2.8886939022638796
10688,80071,1.9506339,-0.37504932,-1.9132055000000001,-2.948015464345779
10689,80072,1.9863446,-0.24681399999999998,-1.9705664,-3.0169912337820155
10690,80073,1.9411072,-0.23363708,-1.9266187,-3.02091397529229
10691,80074,2.102822,0.1268249,-2.0733051,3.0804983800189976
10692,80075,2.285689,0.43501517,-2.2335145,2.9492337422451755
10693,80076,2.1835835,0.37866500000000003,-2.1458082000000003,2.9669236341866183
10694,80077,2.1979568,0.036133643,-2.17637,3.1249914674545654
10695,80078,2.0992648999999997,-0.23445019,-2.0833068,-3.0295266358239847
10696,80079,2.0272958,-0.04657849,-2.0245187,-3.118589519989898
10697,80080,2.0415053,-0.051782414000000006,-2.0390248,-3.1162024346401
10698,80081,1.9595118000000002,-0.08521413,-1.9563671000000002,-3.0980628371870256
10699,80082,1.8941978,-0.10833634,-1.8887953000000002,-3.08429805429784
10700,80083,1.8994404999999999,-0.0429524,-1.8985451,-3.1189726620933484
10701,80084,1.9771336,-0.015120123999999999,-1.9734366,-3.133930979461466
10702,80085,1.9605752,-0.16987865,-1.9513848000000003,-3.054756146135396
10703,80086,1.8033245999999998,-0.21661328,-1.7897193,-3.021146516442162
