Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
3.48,0,0.8173486136,0.8173486136,0.7820309366,0.8173486136,0.7820309366,0,0,0,0,8.081441145,130.8662864,129.8489556,450966600
3.49,0,0.8165428649,0.8165428649,0.7813586239,0.8165428649,0.7813586239,0,0,0,0,8.068987125,130.7037757,129.7118765,452262500
3.5,0,0.8157401441,0.8157401441,0.7806893392,0.8157401441,0.7806893392,0,0,0,0,8.056559767,130.5416861,129.5749124,453558400
3.51,0,0.8149404497,0.8149404497,0.7800230809,0.8149404497,0.7800230809,0,0,0,0,8.044164151,130.3800159,129.4380617,454854300
3.52,0,0.814143758,0.814143758,0.7793598253,0.814143758,0.7793598253,0,0,0,0,8.031797068,130.218687,129.3012513,456150100
3.53,0,0.8133500699,0.8133500699,0.7786995733,0.8133500699,0.7786995733,0,0,0,0,8.019451883,130.0576784,129.1644604,457446000
3.54,0,0.8125593516,0.8125593516,0.7780422911,0.8125593516,0.7780422911,0,0,0,0,8.007138312,129.8970979,129.02779,458741900
3.55,0,0.8117716234,0.8117716234,0.777387999,0.8117716234,0.777387999,0,0,0,0,7.994850656,129.7368826,128.8911804,460037800
3.56,0,0.8109868441,0.8109868441,0.7767366558,0.8109868441,0.7767366558,0,0,0,0,7.982587696,129.5770231,128.7546224,461333700
3.57,0,0.810205002,0.810205002,0.7760882499,0.810205002,0.7760882499,0,0,0,0,7.970356443,129.417603,128.6181944,462629500
3.58,0,0.8094261308,0.8094261308,0.7754428148,0.8094261308,0.7754428148,0,0,0,0,7.958151116,129.2584983,128.4817795,463925400
3.59,0,0.8086501555,0.8086501555,0.7748002755,0.8086501555,0.7748002755,0,0,0,0,7.951384827,129.0997816,128.337744,465221300
3.6,0,0.8078771024,0.8078771024,0.7741606585,0.8078771024,0.7741606585,0,0,0,0,7.948103186,128.9414823,128.1891293,466517200
3.61,0,0.8071069472,0.8071069472,0.7735239395,0.8071069472,0.7735239395,0,0,0,0,7.944848412,128.783519,128.0408398,467813100
3.62,0,0.8063396801,0.8063396801,0.7728901084,0.8063396801,0.7728901084,0,0,0,0,7.941620732,128.6259449,127.8929254,469109000
3.63,0,0.8055752899,0.8055752899,0.7722591543,0.8055752899,0.7722591543,0,0,0,0,7.93842172,128.4687359,127.7453635,470404900
3.64,0,0.8048137644,0.8048137644,0.771631065,0.8048137644,0.771631065,0,0,0,0,7.935246671,128.3119416,127.5981999,471700700
3.65,0,0.8040550893,0.8040550893,0.7710058259,0.8040550893,0.7710058259,0,0,0,0,7.932099651,128.1555512,127.4514249,472996600
3.66,0,0.8032992474,0.8032992474,0.7703834201,0.8032992474,0.7703834201,0,0,0,0,7.928977605,127.9994881,127.3049662,474292500
3.67,0,0.8025462445,0.8025462445,0.7697638534,0.8025462445,0.7697638534,0,0,0,0,7.92588239,127.8438274,127.1588944,475588400
3.68,0,0.8017960563,0.8017960563,0.7691471013,0.8017960563,0.7691471013,0,0,0,0,7.922813226,127.6885551,127.0131961,476884300
3.69,0,0.8010486631,0.8010486631,0.7685331442,0.8010486631,0.7685331442,0,0,0,0,7.919770118,127.5336787,126.8678781,478180100
3.7,0,0.8003040628,0.8003040628,0.76792198,0.8003040628,0.76792198,0,0,0,0,7.916752996,127.3791951,126.7229377,479476000
