,Total Impulse,Total Specific Impulse,Used Specific Impulse,Burn Time,Average Thrust,Combustion Efficiency,Launch Temperature,Average OF,Average Regression,Discharge Coefficient
23,85409.97635231927,132.80432268249854,157.30344592973302,16.505999999999826,5174.480573871329,0.8274816640785264,290.7954920559364,14.907401923622619,0.0003680659301056302,0.8166874378008967
24,117000.3385847119,181.9243065385035,195.7115088180418,22.00399999999971,5317.230439225297,0.9056161894091949,297.6222787216401,5.740804205889701,0.0006989501908744065,0.5716067553894285
25,105661.17573061903,164.29299569007867,173.30903821546156,22.757999999999694,4642.8146467449005,0.7588098995343395,283.6373451989545,5.688408900404476,0.000745833957515599,0.6863242821106884
26,93043.70382916063,144.67403685877656,157.99880694392166,17.548999999999804,5301.93765053061,0.7525886146859344,285.97867261962864,5.237077799323241,0.0008264448884276356,0.8867568580526903
27,85021.41052188785,132.20014007840624,143.6328257386323,21.89199999999971,3883.674882235016,0.7549092132699537,283.3825513289445,4.780112288555836,0.0006818143669278296,0.6079346025851676
28,83139.53561557214,129.2740050649095,138.6430341375995,24.88699999999965,3340.6813041175437,0.742481429840294,283.73843458722274,4.972665550385816,0.000634112494632584,0.47048050781699857
29,112190.28613977483,174.44513625537274,186.07548632541625,18.66899999999978,6009.4427200051505,0.8302278808835938,288.05746583781865,6.340695351119321,0.0008468887740656969,0.9545414101897802
30,88851.42005650103,138.15543761898448,145.36409289912513,30.82799999999952,2882.1662143668877,0.7507259471292301,280.9354670570857,4.787522502867132,0.0005691602563386257,0.42542854718582046
31,105416.45152401896,163.91247301708944,203.07695199828757,16.917999999999818,6231.0232606702975,0.9100477849655703,287.23617386443465,6.581134793914535,0.0006986345903771307,1.0
32,107682.71681509906,167.4362982170782,179.71505270154998,22.3389999999997,4820.391101441448,0.8549889209248079,288.76116048044236,5.127842657312303,0.0007075124308012902,0.6463560258928828
33,77698.58155906416,120.813843277246,144.30612040946852,18.027999999999793,4309.883601013149,0.7931907128433595,291.73765348868886,14.444928816911238,0.00032386710722688035,0.5880595903729925
