,Chamber Pressure [psia],O/F Ratio,C-star [m/s],Specific Impulse [s],Chamber Temperature [K],Chamber Density [kg/m^3],Molar Mass [kg/mol],Throat Velocity [m/s],Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
692,930.2828282828283,1.912121212121212,1342.1775604104664,213.68567411543768,3524.815875414666,0.5156998094342659,20.969405689713465,929.5409121544307,24.133378843422044,1.2021821952549425,2017.9508777763035,1.5034924921368449
693,940.2424242424242,1.912121212121212,1342.1997944605005,213.82719805323882,3525.0394756355577,0.5212164293476017,20.970556638146316,929.533914906718,24.397333045799094,1.2021543360634186,2018.0114325453196,1.5035127023410773
694,950.2020202020202,1.912121212121212,1342.2219703150815,213.96590199290526,3525.2626737848313,0.5267329735286054,20.97170591489122,929.5269427143821,24.661337957121685,1.202126647288232,2018.071681490132,1.503532749215701
695,960.1616161616162,1.912121212121212,1342.2440882491098,214.10187215836302,3525.485472643682,0.5322494423192536,20.97285352704926,929.5199955151522,24.925392916324682,1.2020990840351968,2018.1316297925084,1.5035526363240113
696,970.1212121212122,1.912121212121212,1342.2660699768903,214.2351916976944,3525.7078749275083,0.5377658360589868,20.973999481623842,929.512931675167,25.18949921921626,1.2020715440451561,2018.1912612879994,1.5035724393274552
697,980.0808080808082,1.912121212121212,1342.2880723736405,214.36594094859566,3525.929883288458,0.5432821550848238,20.975143785525315,929.506033380565,25.4536523831186,1.2020443454299814,2018.250611579197,1.5035920090329733
698,990.0404040404042,1.912121212121212,1342.3100176663022,214.4941958924371,3526.1515003184277,0.5487983997313014,20.976286445572136,929.4991598694291,25.71785369397352,1.2020173045131979,2018.3096685418593,1.50361142353756
699,1000.0,1.912121212121212,1342.331906123767,214.6200299673801,3526.372728551152,0.5543145703306196,20.977427468495527,929.492311063512,25.982102557203305,1.2019904183902126,2018.3684351041766,1.5036306847315264
700,14.0,2.214141414141414,1377.140925630448,5.396992723765121,3710.16712803776,0.007364365185253223,20.944426521278746,956.3225174836032,0.316037040313236,1.2288998357767493,1181.0700805360852,1.5027255580152208
701,23.95959595959596,2.214141414141414,1377.1281155734896,77.29428062988804,3713.3766017028984,0.012595017577142261,20.948648188980908,956.6979931110686,0.5471185848551041,1.2240632938176619,1217.7500992224539,1.5020264926810092
