time,position,velocity,acceleration,g-force,mock,imperial position,imperial velocity,imperial acceleration
25.100000000001124,[   0.         3756.82836454],[ 0.         42.94373034],[ 0.         -3.43557027],0.3502110366972477,0.12520038,[    0.         12325.55277152],[  0.         140.89150825],[  0.         -11.27155636]
25.11000000000113,[   0.         3757.25763015],[ 0.         42.90939282],[ 0.         -3.43375226],0.35002571457696224,0.1251002706122449,[    0.        12326.9611233],[  0.         140.77885234],[  0.         -11.26559176]
25.12000000000113,[   0.         3757.68655248],[ 0.         42.87507345],[ 0.         -3.43193679],0.3498406513761468,0.1250002141399417,[    0.         12328.36834884],[  0.         140.66625598],[  0.        -11.2596355]
25.13000000000113,[   0.         3758.11513171],[ 0.         42.84077222],[ 0.         -3.43012387],0.3496558481141692,0.12490021055393585,[    0.         12329.77444872],[  0.         140.55371913],[  0.        -11.2536876]
25.14000000000113,[   0.         3758.54336802],[ 0.         42.80648908],[ 0.         -3.42831348],0.34947130275229354,0.1248002597084548,[    0.         12331.17942353],[  0.         140.44124163],[  0.       -11.247748]
25.15000000000113,[   0.         3758.97126158],[ 0.         42.77222402],[ 0.         -3.42650563],0.34928701630988784,0.12470036157434405,[    0.         12332.58327384],[  0.         140.32882345],[  0.         -11.24181673]
25.16000000000113,[   0.         3759.39881259],[ 0.         42.73797702],[ 0.         -3.42470032],0.3491029887869521,0.12460051609329445,[    0.        12333.9860003],[  0.         140.21646453],[  0.        -11.2358938]
25.17000000000113,[   0.         3759.82602121],[ 0.         42.70374805],[ 0.         -3.42289752],0.3489192171253822,0.12450072317784255,[    0.         12335.38760343],[  0.         140.10416475],[  0.        -11.2299791]
25.180000000001137,[   0.         3760.25288764],[ 0.         42.66953707],[ 0.         -3.42109726],0.34873570438328233,0.12440098271137025,[    0.         12336.78808388],[  0.       139.991924],[  0.         -11.22407273]
25.19000000000113,[   0.         3760.67941204],[ 0.         42.63534408],[ 0.         -3.41929951],0.34855244750254843,0.12430129469387755,[    0.        12338.1874422],[  0.         139.87974227],[  0.        -11.2181746]
25.20000000000114,[   0.         3761.10559461],[ 0.         42.60116904],[ 0.         -3.41750427],0.3483694464831804,0.12420165900874636,[    0.         12339.58567902],[  0.         139.76761943],[  0.         -11.21228471]
25.21000000000114,[   0.         3761.53143552],[ 0.         42.56701192],[ 0.         -3.41571155],0.3481867023445464,0.12410207556851313,[    0.         12340.98279491],[  0.         139.65555539],[  0.         -11.20640308]
