,time,AOA,CD,CL,Stability [Calibers],Stability [Lengths],Thrust,Mass,Gravity1,Gravity2,Gravity3,Mach,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3,flipped
10020,100.21000000001436,0.0017462784109545458,1.2045354515302082,0.020696976475041158,5.448601763550491,0.19117900924738568,0.0,60.24400000000089,0.0,0.0,-589.4015517217154,0.8806975915108923,-5.022387795178216e-15,-82.02181720762276,65.49635795450718,1.5707963267948966,3.0342256949460635,3.6795023041741736e-13,6009.083283010237,7110.910179217945,1.7053191672336616e-15,27.849975493684735,-258.39307045652316,-8.336743568119884e-17,-1.3614935463717808,1.0871847479335073,1.5707963267948966,3.0362112222992605,-3.557308395154467e-30,0.028377797945361032,4.812051521848172e-32,-0.055319829943847404,"[0, 0, 0]",1.7061448966867342e-15,27.86346067902384,-258.4039487497586,-4.3320730070239896e-15,-70.7481211732256,656.1135419747283,-6.903147881542263e-16,-11.273696034397169,-1.2156322985057575,0.0
10030,100.3100000000144,0.003763668521910613,1.2036387986631418,0.04460709933571436,5.4142155172956485,0.1899724742910754,0.0,60.24400000000089,0.0,0.0,-589.4063245720307,0.8802794252493383,-5.808424682566441e-15,-94.85877375600056,65.02732533284131,1.5707963267948966,3.0347460443933776,3.681203212030976e-13,6011.861076342957,7085.076290612971,1.6962801636651186e-15,27.70235736289247,-258.2848320588324,-9.641499041508459e-17,-1.5745762857047867,1.0793991988055305,1.5707963267948966,3.0386543419501635,-3.555182415014896e-30,0.019433567226304446,5.443140246024981e-32,-0.11871705206934112,"[0, 0, 0]",1.6972392709938542e-15,27.718020774243456,-258.2956272824742,-4.31739975203774e-15,-70.50848873395469,657.046708876102,-1.4910249305287011e-15,-24.350285022045888,-2.6130589712299206,0.0
10040,100.41000000001446,0.0046092099714817435,1.2027317562030766,0.054628414606923054,5.3959757781047815,0.18933248344227305,0.0,60.24400000000089,0.0,0.0,-589.4110954836311,0.8798564255290056,-6.129964190279035e-15,-100.1099124179633,65.37379612968414,1.5707963267948966,3.035325984836995,3.682894544965177e-13,6014.6232326403915,7059.253207635248,1.6862971936042821e-15,27.539323089373163,-258.17673331053896,-1.0175227724385739e-16,-1.6617407944021283,1.0851503241764022,1.5707963267948966,3.039942095725632,-3.552953882957646e-30,0.005882897566114214,-1.1044052673094167e-32,-0.14519245229183148,"[0, 0, 0]",1.6873141270161295e-15,27.55593087232831,-258.18757835788693,-4.3000119982985184e-15,-70.224525165825,657.9745092953516,-1.829952191980516e-15,-29.88538725213829,-3.1896176820363653,0.0
10050,100.51000000001451,0.004037121394494671,1.2018145386410566,0.04784805303700722,5.405931169042941,0.1896817954050155,0.0,60.24400000000089,0.0,0.0,-589.4158644481897,0.8794286944367191,-5.888287960397426e-15,-96.16304006178909,66.68370666505962,1.5707963267948966,3.0359101863445663,3.684575783361412e-13,6017.368903306261,7033.440989968586,1.6762461195044075e-15,27.375176592491414,-258.0672606079481,-9.774065401363356e-17,-1.596226015234508,1.1068937431953163,1.5707963267948966,3.0398156489965107,-3.550741128118501e-30,-0.008121216790255107,4.0231906166271605e-32,-0.12766287845357846,"[0, 0, 0]",1.6772275728247453e-15,27.391204941579836,-258.07831522582575,-4.282025676238374e-15,-69.93078623517718,658.8837377721785,-1.6062622841590524e-15,-26.232253826611927,-2.784166658929194,0.0
10060,100.61000000001455,0.002233358168537597,1.2008873485684477,0.02646986084878389,5.436962940436634,0.1907706294890047,0.0,60.24400000000089,0.0,0.0,-589.4206314286703,0.8789963265017641,-5.1562420384876645e-15,-84.20782289355006,68.81437485735262,1.5707963267948966,3.036441845509885,3.686247317958854e-13,6020.09872646606,7007.6398529996695,1.6670245820300008e-15,27.22457745679241,-257.95489342561785,-8.558930413796541e-17,-1.3977794119505482,1.142261052674982,1.5707963267948966,3.0384461812855585,-3.5462446209587415e-30,-0.018331552418671872,3.944304526105059e-33,-0.07117112063015288,"[0, 0, 0]",1.667887932740731e-15,27.23867704389509,-257.96629609258093,-4.265764071296054e-15,-69.66521407259701,659.7705612443623,-8.904779671916098e-16,-14.542608820953047,-1.535554958339452,0.0
10070,100.71000000001463,0.00024047262736297324,1.1999503291059719,0.002850094670937477,5.471235702501357,0.1919731825439072,0.0,60.24400000000089,0.0,0.0,-589.4253963627103,0.8785593815009051,-4.156974261516609e-15,-67.8885416499006,71.38262436080947,1.5707963267948966,3.0368799994518443,3.6879103319455145e-13,6022.814634412445,6981.850144869861,1.6592784712393307e-15,27.09807386741362,-257.83856312067627,-6.900229502550542e-17,-1.1268929959813359,1.1848918458403896,1.5707963267948966,3.0363843942882505,-3.53871519013744e-30,-0.021595641038686948,8.144988846406945e-32,0.007726853644730762,"[0, 0, 0]",1.6599770788056318e-15,27.109482994792838,-257.8503902904428,-4.253056639081771e-15,-69.45768595554108,660.6430464110051,9.60823775651621e-17,1.5691443056404752,0.16497431251479924,0.0
10080,100.81000000001468,0.00261348837562162,1.199003470645633,0.03097517154405598,5.430806917669401,0.19055462869015444,0.0,60.24400000000089,0.0,0.0,-589.4301591735195,0.8781178559160177,-3.198116063016868e-15,-52.22919890442781,73.85686787575776,1.5707963267948966,3.0372122580348777,3.689566439912269e-13,6025.5192639724255,6956.072284241267,1.6532014171878348e-15,26.998828043136346,-257.7179695344442,-5.308605110910333e-17,-0.8669610069787372,1.2259622182417615,1.5707963267948966,3.0343970157099682,-3.5259159219502285e-30,-0.016895093283302697,1.3962838022411908e-31,0.08352008964387186,"[0, 0, 0]",1.653739340199582e-15,27.007612992594773,-257.7302102609659,-4.2445251985513655e-15,-69.3183569582115,661.4962499160167,1.0464091355344982e-15,17.089158053783684,1.7907771332604552,0.0
10090,100.91000000001472,0.004150761856193339,1.198046906321517,0.049194914700930174,5.404677175752616,0.18963779564044264,0.0,60.24400000000089,0.0,0.0,-589.4349197854423,0.8776718169797579,-2.574129396028296e-15,-42.03872329263467,75.7323545744498,1.5707963267948966,3.037458799700443,3.691217191250115e-13,6028.215145493519,6930.306674654106,1.6484730077774479e-15,26.92160725729541,-257.59370712017557,-4.2728394462988146e-17,-0.6978076371528128,1.2570937284119363,1.5707963267948966,3.033221455629401,-3.5128721068824004e-30,-0.00580802501749606,9.150786500563736e-32,0.1322657354874112,"[0, 0, 0]",1.648903679971804e-15,26.928640667984205,-257.60626563363496,-4.239450270591864e-15,-69.23547709500464,662.3242860161173,1.6653208745635687e-15,27.196753802369965,2.8429883437748864,0.0
10100,101.01000000001476,0.0043868326650373145,1.1970808173836882,0.05199281330688348,5.4008142249567,0.1895022535072526,0.0,60.24400000000089,0.0,0.0,-589.4396781393792,0.8772213504954329,-2.4724542083792622e-15,-40.37824146685732,76.69540265037267,1.5707963267948966,3.037665882663596,3.692863594890452e-13,6030.90392668575,6904.553622933246,1.6443622343469336e-15,26.854473232474927,-257.4670633563573,-4.104067140925612e-17,-0.6702450280004104,1.27307952078832,1.5707963267948966,3.0333331429675345,-3.502372368233909e-30,0.00816921982837172,1.1517369216226774e-31,0.13995761468502524,"[0, 0, 0]",1.644771359692708e-15,26.861154756422227,-257.47978985248875,-4.2360523437467795e-15,-69.17998473839296,663.1303863874663,1.7635981353675187e-15,28.801743271535624,3.0046944022858737,0.0
10110,101.11000000001482,0.0032609815794255705,1.1961053764795715,0.03864926308159653,5.4202607577886655,0.19018458799258472,0.0,60.24400000000089,0.0,0.0,-589.4444342028658,0.8767665317813753,-2.918448724808977e-15,-47.661884664883566,76.72076439369437,1.5707963267948966,3.0378913350039825,3.6945058159817593e-13,6033.58587725705,6878.813288580197,1.6399571459515976e-15,26.782532679518706,-257.3396174420545,-4.8443807263942215e-17,-0.7911474116075107,1.2735005045098806,1.5707963267948966,3.0348073003297253,-3.49241694361002e-30,0.02072797964929126,9.781875224740546e-32,0.10461482707045326,"[0, 0, 0]",1.6404360763690511e-15,26.790354206799666,-257.3523553280577,-4.232088140372132e-15,-69.11524438423677,663.9319060157528,1.3136394155631535e-15,21.453359719353198,2.2332925808072286,0.0
10120,101.21000000001487,0.0011313997165553892,1.1951206783133967,0.01340940830291114,5.4568900699227,0.1914698270148316,0.0,60.24400000000089,0.0,0.0,-589.449187971817,0.8763074104133906,-3.768659267242989e-15,-61.546876533983365,76.04940342033991,1.5707963267948966,3.0381867137912786,3.696143134751861e-13,6036.25982173025,6853.085679186166,1.6344463101583422e-15,26.692533901142895,-257.2127564249077,-6.255659098404712e-17,-1.0216266604804207,1.2623564740113338,1.5707963267948966,3.0372994034647514,-3.48496812451247e-30,0.02798645510629573,6.586988558595449e-32,0.036611584078378084,"[0, 0, 0]",1.635063893187353e-15,26.702619797410136,-257.2253871756757,-4.225347997405864e-15,-69.00516949617989,664.7243444817182,4.566887301628746e-16,7.458292962196528,0.7742469104387,0.0
10130,101.31000000001491,0.0013315830226201019,1.1941269970022814,0.015781989964263585,5.4536486072825765,0.1913560914835992,0.0,60.24400000000089,0.0,0.0,-589.4539394639644,0.8758441184074093,-4.753056757326717e-15,-77.62330756322555,75.14153342044858,1.5707963267948966,3.038581323961006,3.6977741786032256e-13,6038.923518483471,6827.370689967399,1.6273703518638935e-15,26.576974732583018,-257.0872790418774,-7.889676577462729e-17,-1.2884819660584361,1.2472865915352152,1.5707963267948966,3.040147202404032,-3.479942587508146e-30,0.0276454353118218,8.75635604795323e-32,-0.0431452721286656,"[0, 0, 0]",1.6281514009763885e-15,26.589730232585772,-257.0997590366169,-4.214485086427779e-15,-68.82776469692435,665.5051241145054,-5.385716708989384e-16,-8.795542866301208,-0.9096512300924258,0.0
10140,101.41000000001496,0.003352513648829073,1.1931246305558822,0.03973410023014205,5.419242606584317,0.1901488633889234,0.0,60.24400000000089,0.0,0.0,-589.4586887056671,0.8753767942217036,-5.5581099621685075e-15,-90.77082414355391,74.53195639942031,1.5707963267948966,3.0390728818461703,3.699397358520758e-13,6041.5743724581225,6801.668177905372,1.6187678368406676e-15,26.436485000699268,-256.9631310778463,-9.225997546923224e-17,-1.5067197421079703,1.2371681229569622,1.5707963267948966,3.04257652503608,-3.473927523105836e-30,0.019863294698744517,9.308558681607939e-32,-0.10814238993323007,"[0, 0, 0]",1.6196851006021464e-15,26.451465054737987,-256.9755055675098,-4.199447147018378e-15,-68.58217650905057,666.2746069022239,-1.3586628151501302e-15,-22.188647634503322,-2.2839617971364548,0.0
10150,101.51000000001505,0.004304148713676271,1.1921137973294835,0.051012847857395766,5.4031384925016415,0.1895838067544436,0.0,60.24400000000089,0.0,0.0,-589.4634357159254,0.8749055300024172,-5.929386194420464e-15,-96.83422515861305,74.66031583483607,1.5707963267948966,3.0396282653691546,3.701011374629786e-13,6044.210260797765,6775.978048195386,1.6091621627558589e-15,26.27961243807146,-256.83942834681307,-9.842285031572231e-17,-1.6073671263297862,1.2392987821996375,1.5707963267948966,3.0439541740539355,-3.465202721494091e-30,0.0071833851752042014,6.7842037849007e-32,-0.13868536026173542,"[0, 0, 0]",1.6101453149696028e-15,26.29566853219473,-256.851816927606,-4.181558951828143e-15,-68.29004011180217,667.0460140345971,-1.7478272425923205e-15,-28.54418504681088,-2.9222624838356985,0.0
10160,101.61000000001509,0.0039011344488065337,1.191094584774875,0.04623634103475272,5.410224250823148,0.1898324298534438,0.0,60.24400000000089,0.0,0.0,-589.4681804928681,0.8744303703312212,-5.750188794493181e-15,-93.9077095289301,75.69638022175549,1.5707963267948966,3.0401941873466494,3.7026156273564285e-13,6046.830204323946,6750.300324449052,1.5993926196226108e-15,26.12006369079101,-256.71476232615083,-9.54483233930864e-17,-1.5587894151936912,1.2564965842532765,1.5707963267948966,3.043982164906536,-3.461254472663459e-30,-0.006414842632764365,8.677469957431128e-33,-0.12609842636756252,"[0, 0, 0]",1.6003506279236898e-15,26.13570915365829,-256.72731538396056,-4.162860238003302e-15,-67.98466694073177,667.8036141416025,-1.5873285564898786e-15,-25.923042588198328,-2.6390534269789043,0.0
