,time,AOA,CD,CL,Stability [Calibers],Stability [Lengths],air speed1,air speed2,air speed3,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3,Thrust,Mass,Gravity1,Gravity2,Gravity3,Mach,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,flipped
6930,69.30999999999855,0.1315186991785001,0.9471761235994088,1.5542769738525877,4.7658891753989225,0.16722418159294467,6.661685184818524,0.3664270297840616,4.0852718628651614e-16,-36.287384528144564,39.69875064367718,-125.81222533760956,14.10723542707007,-15.433452390500493,48.91128709110082,-71.67801146690458,37.6934568824754,32.56750843562944,0.0,60.24400000000089,0.0,0.0,-588.1331188087339,0.4588411628596391,-57.570776039834506,22.26000449197491,-506.6543232820037,2.2076135949855247,2.7646596492531565,-2569.7494357952764,3323.452346644953,13989.282377959942,-29.635297139933662,40.068900918574506,-125.89630987809595,-0.9556267186746178,0.3694974518952026,-8.410037900570947,2.3926311776907783,2.612644280757213,-0.03985156069553943,0.14147733984799968,-0.08860334679191571,0.35122682604858313,0.0
6940,69.4099999999986,0.11854683644154272,0.9478763856591876,1.401735002502174,4.126474769632772,0.14478858840816738,6.497933943878765,0.3574198673054515,3.98485157602168e-16,-36.215585847386286,39.74209734863742,-126.65470337714605,14.197269084970534,-15.579735543624249,49.65129964485285,-66.0631388310606,33.63804010144453,29.44510895033985,0.0,60.24400000000089,0.0,0.0,-588.1354433562965,0.4615988775992466,-51.86586974609007,18.05830455782029,-509.03903476110384,2.2086786289657123,2.7663828569066062,-2572.7175945012564,3327.460977039755,13976.65063633858,-29.726313927582503,40.10255456472263,-126.73917675054204,-0.8609300469107183,0.29975274812130703,-8.44962211607955,2.388215119077437,2.6284691813308725,-0.04810168614759231,0.17326011636813862,-0.07474854510284963,0.27715660463851544,0.0
6950,69.50999999999866,0.1031486737491516,0.9485915743911328,1.2203569909874852,4.448318292759662,0.1560813436056022,6.273332020809241,0.3450656035912625,3.847114668436737e-16,-36.07258140450592,39.7809476051621,-127.50166312390199,14.258049212608723,-15.723818107671109,50.396309793425885,-59.119104897253536,28.301754857766234,25.5561321418387,0.0,60.24400000000089,0.0,0.0,-588.137783471091,0.4643567687767414,-44.861055684644796,12.577936750095125,-512.1853415358263,2.2096665533569717,2.768184262076462,-2575.694343964628,3331.472587385841,13963.934387943076,-29.806758841401138,40.12815112566519,-127.58665282688669,-0.7446559937030102,0.20878322737691626,-8.501848176346506,2.383024994577065,2.64716005078731,-0.055762788287942434,0.20030555816585488,-0.07848356747919717,0.2618555059575368,0.0
6960,69.6099999999987,0.08553091556240727,0.9493069032678004,1.0124815484842422,4.788466172248456,0.16801635692099845,6.019204311780607,0.3310872694277985,3.6912711017615956e-16,-35.88754437761748,39.81151358993952,-128.35431830602462,14.301124156717599,-15.864819078333753,51.14897310416568,-50.82269790223401,21.74650089088368,20.95498599193972,0.0,60.24400000000089,0.0,0.0,-588.1401392472617,0.4671152337689756,-36.521573745516406,5.881681812549927,-516.0361801511561,2.21056838847474,2.7700855593236384,-2578.6785198637635,3335.486268523541,13951.133110964869,-29.874476781102754,40.143637166851775,-128.43994149179022,-0.60622757030602,0.09763099748605407,-8.565768875757728,2.377050590406963,2.668458470049922,-0.06378038173112352,0.2252003999971616,-0.0817971217219277,0.2337838526884554,0.0
6970,69.70999999999876,0.0660647439286191,0.9500224459610233,0.7824334974940378,4.441599753878616,0.15584560539924966,5.7534094320673,0.3164671807260517,3.5282726541824513e-16,-35.676123078638796,39.83082363803975,-129.21380296356028,14.3328415842326,-16.001987775273506,51.911497342093384,-41.203257447376544,14.026527058478726,15.700030205178793,0.0,60.24400000000089,0.0,0.0,-588.1425108005552,0.4698745459281539,-26.87041586314395,-1.97546071679478,-520.530983253283,2.2113735235858734,2.7721075509704614,-2581.668738791895,3339.500909622984,13938.246167099229,-29.92725873419879,40.147032197739684,-129.30016725777438,-0.4460264235964338,-0.032790995232633145,-8.640378846910487,2.3702605045501817,2.6920787225041987,-0.07191822214940444,0.24616633558631,-0.07268889594951265,0.16474373402454626,0.0
6980,69.80999999999881,0.045670638046371205,0.950763747488416,0.5411027418894314,4.729380941765059,0.16594319093912485,5.504808313786008,0.3027928375462801,3.3758182638270127e-16,-35.46505891840765,39.83545914410944,-130.08111323206697,14.36486918332587,-16.13506862569586,52.68842719531398,-30.39353763486313,5.316960831865863,9.914676672908016,0.0,60.24400000000089,0.0,0.0,-588.1448982664987,0.4726348628344449,-16.028668451537257,-10.818107793829999,-525.5417943982768,2.2120709987483482,2.7742687831079853,-2584.663400438013,3343.515209011133,13925.272812091198,-29.96300487427148,40.13653281773442,-130.16830567524968,-0.2660624867461825,-0.17957153897201114,-8.723554119883625,2.362704174860141,2.7174380823421846,-0.07921151574571142,0.26016670910256656,-0.07286818661767754,0.11298547905994145,0.0
6990,69.90999999999886,0.02700850629315404,0.9515096712131362,0.32006737402115004,5.014456726360127,0.17594585004772376,5.298200774669174,0.29142835772034864,3.249116394436165e-16,-35.277305109000686,39.822575015181584,-130.95700294165258,14.406835166431973,-16.263069766069364,53.481294827959154,-18.59425882360177,-4.15694177341021,3.744856748203628,0.0,60.24400000000089,0.0,0.0,-588.1473017968137,0.4753962265317704,-4.187423657169797,-20.420011539479574,-530.9211502206508,2.2126500237197013,2.776583682523844,-2587.660707908779,3347.527701991701,13912.21221621696,-29.97990098646079,40.11069579945114,-131.04508571683184,-0.06950772951944982,-0.3389551082179018,-8.812846926177599,2.35442118808532,2.743915677336928,-0.08641597427653648,0.2683092710287248,-0.0708756736416531,0.04776223454173915,0.0
7000,70.0099999999989,0.021455585639328617,0.9522558779821356,0.254273261667967,5.1085374287519505,0.17924692732462982,5.143451045705028,0.2829163248080991,3.154216275925017e-16,-35.12123181952056,39.79052278021227,-131.84198310725515,14.462544157713456,-16.385307774070522,54.291105514966496,-6.0815799353128925,-14.14946125879301,-2.6503081459599307,0.0,60.24400000000089,0.0,0.0,-588.149721554887,0.4781586371020647,8.380964222400564,-30.534769032863537,-536.5089241858805,2.213100887625637,2.7790622775643907,-2590.6586999326278,3351.536798154716,13899.063488873326,-29.976496641476828,40.06845565754779,-131.93099223949483,0.13911699459531973,-0.5068516206238478,-8.905599299280803,2.3454338357947297,2.77086015027578,-0.09321710952622107,0.2693126858169668,-0.06391846596760799,-0.028751255566971074,0.0
7010,70.10999999999896,0.036400862136788815,0.9530096724224786,0.4313297355348733,4.859781112314132,0.1705186355197941,5.048095904678958,0.2776713004439261,3.0957398298298013e-16,-35.003387584189895,39.738237812986114,-132.7362751302035,14.535749414785336,-16.501976148606012,55.12098590183622,6.790674134555289,-24.349155685347398,-9.080329673838127,0.0,60.24400000000089,0.0,0.0,-588.1521577109447,0.4809220735387806,21.326423549340625,-40.851131833953424,-542.1115014829468,2.2134162513928444,2.7817091131660776,-2593.6552950848363,3355.5408229758723,13885.825705274328,-29.951859958651553,40.00921371854556,-132.82621495600046,0.35400078927926953,-0.678094612475148,-8.998597395308064,2.335812726238576,2.797520177715312,-0.0989926520956921,0.26267030608713465,-0.05115609643342222,-0.10250134780898566,0.0
7020,70.20999999999901,0.05683704115718749,0.9537877207652528,0.6732730801014091,4.57265080557584,0.16044388791494174,5.008061765741377,0.2754692164045465,3.071188933649889e-16,-34.919347322677716,39.665827745419456,-133.63976809135062,14.624674149595947,-16.61256152041612,55.970062776468296,19.6028272043783,-34.42991481323535,-15.341309186693255,0.0,60.24400000000089,0.0,0.0,-588.1546104362692,0.4836865029292997,34.227501353974255,-51.04247633365146,-547.5258568464942,2.2135923391741783,2.7845224237227573,-2596.648350368648,3359.538068676263,13872.497938268629,-29.905709456166225,39.93290775984956,-133.73060914161206,0.568147887822418,-0.8472624051133842,-9.08847116470497,2.325680395406944,2.823163294058044,-0.10342921838240347,0.24914117347364695,-0.03756594948755337,-0.16616381686030468,0.0
7030,70.30999999999906,0.07718918545742727,0.9545660414887109,0.9139422352154256,4.755608667735898,0.16686346202582106,5.017617165447055,0.2759948126516539,3.0770487730858617e-16,-34.86372469499916,39.57402451651677,-134.55202361918012,14.726868125651011,-16.716556975899337,56.836437449363395,31.96848860782859,-44.07749489681851,-21.247279472386698,0.0,60.24400000000089,0.0,0.0,-588.1570798970528,0.4864518972205987,46.695356733479606,-60.794051872717844,-552.5679219200762,2.21362966119606,2.7874941956749524,-2599.635729514715,3363.526848016644,13859.079291635331,-29.838456766851788,39.840006569591544,-134.64370541899385,0.7751038565413804,-1.0091304009148954,-9.1721652267457,2.3151709887245717,2.847143862843458,-0.10659095380895946,0.2291707553091835,-0.02676758178772293,-0.2419726970266673,0.0
7040,70.40999999999912,0.09576739095280642,0.9553446235912622,1.1333061540261349,4.9537232346621405,0.17381485033902247,5.071770728396882,0.2789735378050356,3.1102583921019326e-16,-34.832507635101514,39.46407301466327,-135.4722935347662,14.840800138484848,-16.81413311945963,57.71956626589738,43.48069539655811,-52.90127350048434,-26.590244251290237,0.0,60.24400000000089,0.0,0.0,-588.1595662486009,0.4892182141697671,58.32149553504297,-69.71540661994398,-557.0302442339937,2.213531700283148,2.790610422012928,-2602.615368984769,3367.50554783586,13845.568931421443,-29.75114820224121,39.73154424811886,-135.5647216027165,0.9680880342447732,-1.157217426132776,-9.246236043987542,2.304398736033333,2.868722884994825,-0.10864239515825877,0.20115536011180676,-0.013920217812569548,-0.31795356698065425,0.0
7050,70.50999999999917,0.11156968730056567,0.95614363854498,1.3195883785942248,4.187692365513118,0.14693657422853046,5.154154445464951,0.28350506697675604,3.1607801252608966e-16,-34.81104184512588,39.33854364271941,-136.39945887215228,14.960374118077116,-16.90611079018277,58.61895611482216,53.70542057270564,-60.50361552645057,-31.15603095448756,0.0,60.24400000000089,0.0,0.0,-588.1620696290918,0.491985353206929,68.66579469078276,-77.40972631663335,-560.6991444687571,2.2133050260668834,2.7938500093584517,-2605.58534657055,3371.4726932833496,13831.966120422854,-29.64556980296711,39.609258450181066,-136.49250295424415,1.139794746211768,-1.284936696046614,-9.30713671849062,2.293491118110314,2.8872725386905267,-0.10926209051656376,0.17026566449814645,0.0006421114179657934,-0.317051367475384,0.0
7060,70.60999999999922,0.12424106258732505,0.9569553602157069,1.4687265310837618,4.407176424551984,0.15463776928252573,5.242173844373991,0.2883465877047424,3.2147579347450297e-16,-34.778996696653174,39.200818765607735,-137.33214927291993,15.07625396402567,-16.993057748699187,59.531744918428494,62.42058545536087,-66.72827986264447,-34.85511998562536,0.0,60.24400000000089,0.0,0.0,-588.1645901534207,0.4947531336153042,77.49683941938653,-83.72133761134367,-563.4879652206176,2.2129592023884608,2.797187587333119,-2608.543947375645,3375.4270084636855,13818.270250304893,-29.524026251596197,39.47531466875954,-137.42566399394704,1.2863827006736837,-1.3897041632584564,-9.353428809850099,2.28258978753402,2.902613697910553,-0.10854634472704712,0.13558997269196948,0.013862739755031668,-0.3756460778599051,0.0
7070,70.70999999999927,0.13303830207812678,0.9577671881324388,1.5721300486789191,4.63495888257504,0.16263013623070316,5.287517127541691,0.2908407020483115,3.2425646583826284e-16,-34.690908215655476,39.05606754940336,-138.26876522319714,15.167156285155759,-17.075640589256,60.45226485449381,69.11359494430998,-71.21945291488841,-37.45723145919561,0.0,60.24400000000089,0.0,0.0,-588.1671279094954,0.4975212339902232,84.28075122946574,-88.29509350414438,-565.1720945141974,2.2125090327270485,2.8005932961197857,-2611.489714023005,3379.36745105442,13804.48086169995,-29.389449622890673,39.332282450968,-138.36256947774788,1.3989899613150605,-1.4656246846846672,-9.381383947184602,2.271827390801918,2.9142042199756406,-0.10647534123763926,0.09536454333930446,0.027594324562667537,-0.4274886333225073,0.0
