time,position,velocity,acceleration,rotation,angular_velocity,angular_acceleration,Angle to Body
0.9700000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.00053721e-15 1.21650553e+02],[360.32235965],[9.43118548],[1.19360014e-15],[3.14159265]
0.9800000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.98808350e-15 1.21464331e+02],[360.32235965],[9.43118548],[1.2189647e-15],[3.14159265]
0.9900000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.97547412e-15 1.21275741e+02],[360.32235965],[9.43118548],[1.24459265e-15],[3.14159265]
1.0000000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.96270943e-15 1.21084788e+02],[360.32235965],[9.43118548],[1.27048336e-15],[3.14159265]
1.0100000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.94978982e-15 1.20891478e+02],[360.32235965],[9.43118548],[1.29663622e-15],[3.14159265]
1.0200000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.93671567e-15 1.20695818e+02],[360.32235965],[9.43118548],[1.32305056e-15],[3.14159265]
1.0300000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.92348741e-15 1.20497812e+02],[360.32235965],[9.43118548],[1.34972572e-15],[3.14159265]
1.0400000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.91010544e-15 1.20297469e+02],[360.32235965],[9.43118548],[1.376661e-15],[3.14159265]
1.0500000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.89657020e-15 1.20094793e+02],[360.32235965],[9.43118548],[1.40385569e-15],[3.14159265]
1.0600000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.88288214e-15 1.19889791e+02],[360.32235965],[9.43118548],[1.43130905e-15],[3.14159265]
1.0700000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.86904171e-15 1.19682472e+02],[360.32235965],[9.43118548],[1.45902034e-15],[3.14159265]
1.0800000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.85504938e-15 1.19472840e+02],[360.32235965],[9.43118548],[1.48698878e-15],[3.14159265]
1.0900000000000007,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.84090562e-15 1.19260905e+02],[360.32235965],[9.43118548],[1.51521356e-15],[3.14159265]
1.1000000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.82661094e-15 1.19046672e+02],[360.32235965],[9.43118548],[1.54369389e-15],[3.14159265]
1.1100000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.81216583e-15 1.18830151e+02],[360.32235965],[9.43118548],[1.57242893e-15],[3.14159265]
1.1200000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.79757081e-15 1.18611347e+02],[360.32235965],[9.43118548],[1.60141782e-15],[3.14159265]
1.1300000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.78209582e-15 1.18378340e+02],[360.32235965],[9.43118548],[1.6306596e-15],[3.14159265]
