,Time (s),acceleration,altitude,speed,Weight,Net Force,Drag,Thrust
4872,44.52,-13.24,13743.01,108.8,-496.1496098878835,-669.6249576876226,-173.47534779973904,0.0
4873,44.53,-11.28,13741.71,108.68,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4874,44.54,-9.81,13757.28,108.56,-496.1496098878835,-496.1496098878835,-0.0,0.0
4875,44.55,-12.75,13744.3,108.45,-496.1496098878835,-644.8427651448027,-148.69315525691917,0.0
4876,44.56,-12.75,13748.19,108.34,-496.1496098878835,-644.8427651448027,-148.69315525691917,0.0
4877,44.57,-9.32,13744.3,108.23,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4878,44.58,-9.81,13752.52,108.12,-496.1496098878835,-496.1496098878835,-0.0,0.0
4879,44.59,-10.79,13755.11,108.01,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4880,44.6,-10.79,13754.25,107.91,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4881,44.61,-10.3,13749.92,107.8,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4882,44.62,-10.3,13753.81,107.69,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4883,44.63,-13.24,13752.08,107.58,-496.1496098878835,-669.6249576876226,-173.47534779973904,0.0
4884,44.64,-11.28,13754.25,107.47,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4885,44.65,-11.28,13762.9,107.35,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4886,44.66,-10.3,13757.28,107.24,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4887,44.67,-10.3,13757.28,107.13,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4888,44.68,-12.75,13764.64,107.02,-496.1496098878835,-644.8427651448027,-148.69315525691917,0.0
4889,44.69,-11.28,13765.5,106.91,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4890,44.7,-10.3,13769.41,106.8,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4891,44.71,-10.3,13760.74,106.69,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4892,44.72,-10.3,13769.41,106.58,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4893,44.73,-11.77,13755.54,106.47,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4894,44.74,-10.79,13768.1,106.37,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4895,44.75,-11.77,13769.41,106.26,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4896,44.76,-10.79,13775.48,106.15,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4897,44.77,-8.83,13776.35,106.05,-496.1496098878835,-446.5852248022438,49.56438508563974,0.0
4898,44.78,-8.83,13775.05,105.95,-496.1496098878835,-446.5852248022438,49.56438508563974,0.0
4899,44.79,-10.79,13769.41,105.84,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4900,44.8,-11.28,13776.35,105.74,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4901,44.81,-11.77,13781.12,105.62,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4902,44.82,-12.75,13778.52,105.51,-496.1496098878835,-644.8427651448027,-148.69315525691917,0.0
4903,44.82,-12.75,13778.52,105.51,-496.1496098878835,-644.8427651448027,-148.69315525691917,0.0
4904,44.83,-10.3,13781.56,105.39,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4905,44.84,-13.24,13776.35,105.27,-496.1496098878835,-669.6249576876226,-173.47534779973904,0.0
4906,44.85,-13.73,13775.91,105.15,-496.1496098878835,-694.4071502304424,-198.2575403425589,0.0
4907,44.86,-11.28,13777.65,105.04,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4908,44.87,-7.35,13782.86,104.93,-496.1496098878835,-371.732888142298,124.4167217455855,0.0
4909,44.88,-10.79,13783.3,104.82,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4910,44.89,-10.79,13780.26,104.72,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4911,44.9,-11.77,13790.25,104.61,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4912,44.91,-9.81,13791.56,104.51,-496.1496098878835,-496.1496098878835,-0.0,0.0
4913,44.92,-8.83,13791.12,104.41,-496.1496098878835,-446.5852248022438,49.56438508563974,0.0
4914,44.93,-9.81,13792.0,104.31,-496.1496098878835,-496.1496098878835,-0.0,0.0
4915,44.94,-10.3,13790.25,104.21,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4916,44.95,-10.3,13790.69,104.11,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4917,44.96,-10.3,13788.51,104.01,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4918,44.97,-9.32,13795.04,103.91,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4919,44.98,-10.3,13795.04,103.81,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
