,Chamber Pressure [psia],O/F Ratio,Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
147,264.5,1.7,9.993576907091851,1.2493,1465.2955,1.4369
148,279.2,1.7,10.561355727038887,1.2487,1466.381,1.4369
149,293.9,1.7,11.12962472071799,1.2482,1467.7361999999998,1.4369
150,308.6,1.7,11.698699723264719,1.2476,1468.8192000000001,1.4369
151,323.3,1.7,12.268518518518519,1.2471,1469.9009999999998,1.4368
152,338.0,1.7,12.839018460837195,1.2466,1470.711,1.4368
153,352.7,1.7,13.410136496711152,1.2462,1472.064,1.4368
154,132.3,1.9,4.796258700696056,1.2696,1466.6535,1.4378
155,147.0,1.9,5.340211428779017,1.2685,1469.1508,1.4377
156,161.7,1.9,5.885350318471337,1.2676,1471.0947,1.4377
157,176.4,1.9,6.4313839871664,1.2667,1473.572,1.4377
158,191.0,1.9,6.975130555454114,1.2659,1475.2343999999998,1.4376
159,205.7,1.9,7.523224343500841,1.2651,1477.1589000000001,1.4376
160,220.4,1.9,8.072372999304106,1.2644,1479.0816000000002,1.4376
161,235.1,1.9,8.622460206851024,1.2637,1480.7289999999998,1.4376
162,249.8,1.9,9.17336858727186,1.263,1482.1014,1.4375
163,264.5,1.9,9.724979777924847,1.2624,1483.7457,1.4375
164,279.2,1.9,10.277552823382168,1.2619,1485.1152000000002,1.4375
165,293.9,1.9,10.830630896226415,1.2613,1486.2102,1.4375
166,308.6,1.9,11.384093256603217,1.2608,1487.3039999999999,1.4374
167,323.3,1.9,11.938700147710488,1.2603,1488.3966,1.4374
168,338.0,1.9,12.493531455607304,1.2598,1489.488,1.4374
169,352.7,1.9,13.049430220512061,1.2593,1490.852,1.4374
170,161.7,2.1,5.739945333853963,1.2798,1487.6132,1.4382
171,176.4,2.1,6.272446040607332,1.2789,1490.1117000000002,1.4382
172,191.0,2.1,6.8024788090319825,1.2781,1491.7913,1.4381
173,205.7,2.1,7.336733602025895,1.2773,1493.7328,1.4381
174,220.4,2.1,7.8722720291459805,1.2766,1495.6725000000001,1.4381
175,235.1,2.1,8.408440629470672,1.2759,1497.3347999999999,1.4381
176,249.8,2.1,8.945389435989258,1.2753,1498.9955,1.438
177,264.5,2.1,9.483005879822171,1.2747,1500.3791999999999,1.438
178,279.2,2.1,10.021176555041096,1.2741,1501.7615,1.438
179,293.9,2.1,10.560546173194394,1.2735,1502.8672,1.438
180,308.6,2.1,11.10032013236934,1.273,1504.2468,1.438
181,323.3,2.1,11.640383092100526,1.2725,1505.35,1.4379
182,338.0,2.1,12.181497098785455,1.272,1506.1771,1.4379
183,352.7,2.1,12.723206233541358,1.2715,1507.278,1.4379
184,176.4,2.3,6.129895402578448,1.2902,1505.0919999999999,1.4386
185,191.0,2.3,6.647408902655483,1.2894,1507.3295999999998,1.4386
186,205.7,2.3,7.169245782796598,1.2887,1509.2874,1.4386
187,220.4,2.3,7.692039228004049,1.2879,1510.6992,1.4385
